,Name,Is Potentially Hazardous,Minimum Orbit Intersection,Absolute Magnitude,Close Approach Date,Miles per Hour,Miss Distance,First Observationv Date,Last Observationv Date
18769,(2011 SM68),True,4.81633E-5,19.6,1911-06-14,48847.5914912472,8451412,2011-09-24,2016-09-04
18770,(2011 SY120),False,.0508707,23.2,1901-10-05,38358.6328486772,23659420,2011-09-26,2015-09-15
18771,(2011 TG2),False,.0508805,20.3,1900-01-02,46282.4696594495,6330917,2011-10-03,2017-12-13
18772,(2011 TB4),False,.00753175,25.4,1900-01-11,27214.6019224186,26622762,2011-10-03,2014-10-10
18773,(2011 TX8),True,.0128113,21.9,1901-10-15,40050.6832844406,14195251,2011-10-06,2018-09-16
18774,(2011 UT20),True,.0321672,20.5,1900-03-14,35071.4714868592,8595641,2011-10-19,2017-08-16
18775,(2011 UG21),False,.128708,19.5,1901-05-27,35143.108291005,11589701,2011-10-19,2018-08-09
18776,(2011 UY255),False,.0759907,23.0,1906-10-22,44652.6678618323,40681936,2011-10-30,2014-08-31
18777,(2011 UD256),False,.360305,19.9,1901-05-23,80010.7223788924,39658364,2011-10-30,2014-09-04
18778,(2011 UE256),False,.0966948,19.4,1903-06-01,49674.3201646306,8815806,1998-11-11,2011-12-24
18779,(2011 UB276),False,.109019,23.2,1901-07-23,27982.7862666256,6587522.5,2011-10-31,2012-03-23
18780,(2011 UE305),True,.0134511,21.4,1913-12-07,56424.3947990334,28627674,2011-10-30,2015-06-17
18781,(2011 WA),False,.0505567,21.6,1900-11-11,35440.4763557425,5002256,2011-11-16,2014-12-19
18782,(2011 WS2),False,.0937498,17.3,1900-01-24,97208.7838918936,35316152,2010-01-07,2018-02-26
18783,(2011 WV4),False,.0273179,22.7,1902-11-14,40048.8115632902,24985168,2011-11-18,2015-05-18
18784,(2011 WH15),False,.306693,20.1,1901-07-02,68157.9008524988,38020496,2011-11-18,2018-07-19
18785,(2011 WS74),False,.0220576,23.9,1900-12-02,29105.9834518667,2409369.25,2011-11-29,2011-12-10
18786,(2011 XC),False,.172118,20.9,1904-12-18,28714.2098216275,22917802,1998-06-02,2015-07-20
18787,(2011 XE),False,.0532396,19.3,1900-11-26,27553.3802025496,26285200,2004-12-14,2018-11-03
18788,(2011 YW10),False,.00902934,24.5,1939-01-26,40692.4072109935,8787051,2011-12-25,2017-02-23
18789,(2011 YX10),False,.242314,21.5,1900-09-08,32583.7006503637,39311132,2011-12-25,2013-01-10
18790,(2011 YV62),True,.00336971,21.3,1900-11-16,41982.214518483,3330285.5,2011-12-30,2015-03-17
18791,(2011 YL63),False,.166797,20.9,1903-11-25,49158.6799255237,35196128,2011-12-31,2016-12-28
18792,(2012 AY),False,.09104,22.4,1910-01-21,29205.4602291086,8294153,2012-01-02,2015-12-02
18793,(2011 YU74),False,.0211193,23.0,1901-12-13,13946.5046386356,36647740,2011-12-27,2015-09-04
18794,(2012 AW),False,.120092,22.0,1903-12-08,23962.8850920356,43331096,2012-01-01,2017-01-06
18795,(2012 AN10),False,.00189289,22.5,1906-09-20,31821.8543401253,20346472,2012-01-10,2012-01-20
18796,(2012 AP10),False,.00261888,26.5,1902-12-30,30238.8545703752,29106138,2012-01-11,2017-01-22
18797,(2012 AT22),False,.0656549,20.3,1901-08-19,31019.7509489802,20200648,2012-01-10,2016-07-05
18798,(2012 BN1),False,.0308705,25.5,1902-12-30,39830.8220626953,37106336,2012-01-16,2018-01-14
18799,(2012 BF11),False,.191186,22.3,1902-06-05,16431.8166166816,30453710,2012-01-19,2015-06-15
